 2019-07-01 15:40 	 LU7DID 	 14.097071 	 -22 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 15:30 	 LU7DID 	 14.096998 	 -11 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-07-01 15:20 	 LU7DID 	 14.097044 	 -22 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 15:10 	 LU7DID 	 14.097109 	 -19 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 15:00 	 LU7DID 	 14.097134 	 -20 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 14:50 	 LU7DID 	 14.097129 	 -18 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 14:20 	 LU7DID 	 14.097035 	 -17 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 14:10 	 LU7DID 	 14.097029 	 -13 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 14:00 	 LU7DID 	 14.097017 	 -29 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-07-01 14:00 	 LU7DID 	 14.097162 	 -18 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 13:50 	 LU7DID 	 14.097176 	 -16 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 13:50 	 LU7DID 	 14.097032 	 -17 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-07-01 13:40 	 LU7DID 	 14.097066 	 -22 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 13:30 	 LU7DID 	 14.097082 	 -25 	 -4 	 GF05te 	 0.1 	 PY1ZB 	 GG87ja 	 1973 	 52 
 2019-07-01 13:20 	 LU7DID 	 14.097064 	 -21 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-07-01 13:00 	 LU7DID 	 14.097051 	 -27 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 21:16 	 LU7DID 	 14.097045 	 -28 	 -4 	 GF05te 	 0.1 	 2E0PYB 	 JO01is 	 11209 	 33 
 2019-06-30 21:16 	 LU7DID 	 14.097030 	 -30 	 -3 	 GF05te 	 0.1 	 OE9HLH 	 JN47um 	 11382 	 40 
 2019-06-30 20:56 	 LU7DID 	 14.097110 	 -11 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 20:46 	 LU7DID 	 14.097159 	 -12 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 20:46 	 LU7DID 	 14.097006 	 -15 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 20:46 	 LU7DID 	 14.097150 	 -22 	 -2 	 GF05te 	 0.1 	 PY1ZB 	 GG87ja 	 1973 	 52 
 2019-06-30 20:26 	 LU7DID 	 14.097043 	 -31 	 -3 	 GF05te 	 0.1 	 DK6UG 	 JN49cm 	 11437 	 38 
 2019-06-30 20:26 	 LU7DID 	 14.097028 	 -27 	 -3 	 GF05te 	 0.1 	 OE9HLH 	 JN47um 	 11382 	 40 
 2019-06-30 20:06 	 LU7DID 	 14.097154 	 -31 	 -3 	 GF05te 	 0.1 	 DK6UG 	 JN49cm 	 11437 	 38 
 2019-06-30 20:06 	 LU7DID 	 14.097015 	 -22 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 19:26 	 LU7DID 	 14.097152 	 -16 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 19:26 	 LU7DID 	 14.096998 	 -9 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 18:56 	 LU7DID 	 14.097015 	 -6 	 -1 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 18:36 	 LU7DID 	 14.096999 	 0 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 18:36 	 LU7DID 	 14.097153 	 -7 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 18:26 	 LU7DID 	 14.096995 	 +1 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 18:06 	 LU7DID 	 14.097135 	 -9 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 17:46 	 LU7DID 	 14.097014 	 -13 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 17:36 	 LU7DID 	 14.097009 	 -21 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 17:06 	 LU7DID 	 14.097194 	 -13 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 16:56 	 LU7DID 	 14.097189 	 -21 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 16:56 	 LU7DID 	 14.097038 	 -23 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 16:46 	 LU7DID 	 14.097073 	 -17 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 16:36 	 LU7DID 	 14.097099 	 -22 	 -2 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
